GameId,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,SitID,TeamID,PlayID
2023092100,4,14,55,SF,NYG,1,10,82,0,(14:55) 25-E.MITCHELL RIGHT GUARD TO NYG 20 FOR -2 YARDS (41-M.MCFADDEN).,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,1411082,14,102
2023092100,3,4,58,SF,NYG,1,7,93,0,"(4:58) 23-C.MCCAFFREY UP THE MIDDLE TO NYG 3 FOR 4 YARDS (27-J.PINNOCK, 97-D.LAWRENCE).",4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,1410793,14,103
2023092100,3,6,56,SF,NYG,2,6,80,1,(6:56) 13-B.PURDY PASS SHORT LEFT TO 23-C.MCCAFFREY PUSHED OB AT NYG 14 FOR 6 YARDS (22-A.JACKSON).,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,1420680,14,205
2023092100,3,7,37,SF,NYG,1,10,76,0,(7:37) 23-C.MCCAFFREY UP THE MIDDLE TO NYG 20 FOR 4 YARDS (97-D.LAWRENCE).,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,1411076,14,103
2023092100,3,8,26,SF,NYG,2,16,59,0,(8:26) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 85-G.KITTLE TO NYG 29 FOR 12 YARDS (29-X.MCKINNEY).,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,1421659,14,201
2023092100,3,10,6,NYG,SF,1,8,92,1,"(10:06) 31-M.BREIDA RIGHT TACKLE FOR 8 YARDS, TOUCHDOWN.",8,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,0,0,0,0,RIGHT TACKLE,110892,1,107
2023092100,3,10,46,NYG,SF,1,10,63,0,"(10:46) (SHOTGUN) 8-D.JONES PASS SHORT RIGHT TO 0-P.CAMPBELL TO SF 30 FOR 7 YARDS (7-C.WARD, 48-O.BURKS).",7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,111063,1,201
2023092100,2,0,32,NYG,SF,1,10,55,0,(:32) (SHOTGUN) 8-D.JONES PASS SHORT LEFT TO 0-P.CAMPBELL TO SF 38 FOR 7 YARDS (2-D.LENOIR).,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,111055,1,205
2023092100,2,1,44,SF,NYG,1,4,96,1,"(1:44) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE FOR 4 YARDS, TOUCHDOWN.",4,SHOTGUN,RUSH,1,0,0,1,,0,0,0,0,0,0,0,CENTER,1410496,14,103
2023092100,2,1,51,SF,NYG,3,12,80,0,"(1:51) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 85-G.KITTLE TO NYG 9 FOR 11 YARDS (19-I.SIMMONS; 37-T.HAWKINS). PENALTY ON NYG-99-L.WILLIAMS, ROUGHING THE PASSER, 5 YARDS, ENFORCED AT NYG 9.",11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,1,0,0,,1431280,14,201
2023092100,2,1,56,SF,NYG,2,13,79,0,(1:56) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 23-C.MCCAFFREY TO NYG 20 FOR 1 YARD (55-J.WARD).,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,1421379,14,201
2023092100,2,2,0,SF,NYG,2,5,87,0,"(2:00) (SHOTGUN) 19-D.SAMUEL LEFT END TO NYG 9 FOR 4 YARDS (25-D.BANKS). PENALTY ON SF-71-T.WILLIAMS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NYG 11.",4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,1,0,0,LEFT END,1420587,14,104
2023092100,2,2,41,SF,NYG,1,10,82,0,(2:41) (SHOTGUN) 25-E.MITCHELL RIGHT TACKLE TO NYG 13 FOR 5 YARDS (41-M.MCFADDEN).,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT TACKLE,1411082,14,107
2023092100,2,3,22,SF,NYG,2,9,67,1,(3:22) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 10-R.BELL TO NYG 18 FOR 15 YARDS (29-X.MCKINNEY).,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,1420967,14,201
2023092100,2,4,6,SF,NYG,1,10,66,0,(4:06) 25-E.MITCHELL UP THE MIDDLE TO NYG 33 FOR 1 YARD (99-L.WILLIAMS).,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,1411066,14,103
